favorite_count,source,text,location,place,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
5,Twitter for Android,"b""#AgeRelaxation_AirforceXY \nAir force it not just a job it's a dream of every student \nSo please IAF don't do this.\xe2\x80\xa6 https://t.co/X2jrZDL6iP""","Jodhpur, India","Jodhpur, India",,False,Wed Jan 20 05:38:36 +0000 2021,8,b'1351766052712009728'
1,Twitter for Android,"b""He didn't do well in the handling of covid19. His non chalant attitude cause the lives of thousands of Americans.\nH\xe2\x80\xa6 https://t.co/9b58kzrmFg""","Warri, Nigeria","Warri, Nigeria",,False,Wed Jan 20 05:38:14 +0000 2021,0,b'1351765962299744256'
2,Twitter for iPhone,b'I\xe2\x80\x99ve learned in the last year to not take anything for granted.  Not your family or friends.  Many people have lost\xe2\x80\xa6 https://t.co/3MUSkINniY',"Herriman, UT","Herriman, UT",,False,Wed Jan 20 05:38:39 +0000 2021,0,b'1351766065349419009'
0,Twitter for Android,b'E la vai mais um com a cloroquina indicada por politico. https://t.co/bwjcVqr55k',Goiânia,"Goiânia, Brazil",,False,Wed Jan 20 05:38:47 +0000 2021,0,b'1351766098040025088'
1,Twitter for iPhone,b'\xe4\xb8\x89\xe4\xba\x9a\xe3\x81\xab\xe3\x81\xaf\xe6\x9d\xa5\xe3\x81\xa6\xe3\x81\x8f\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x84\xe3\x82\x89\xe3\x81\x97\xe3\x81\x84w https://t.co/hSvcMJngAN',Hainan,"Hainan, People's Republic of China",,False,Wed Jan 20 05:40:46 +0000 2021,0,b'1351766599250841600'
1,Twitter for Android,b'We lost another Big Hat Posse and Astro legend. This is not fair. \xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/A6ykjQfjWU',Probably @ Fredonia Brewery,"Nacogdoches, TX",,False,Wed Jan 20 05:40:48 +0000 2021,0,b'1351766608000249856'
4,Twitter for iPhone,b'Children\xe2\x80\x99s advice to goverment..       \xe2\x80\x9cPlease make sure that children don\xe2\x80\x99t go to bad with empty stomach\xe2\x80\x9d\xe2\x80\xa6 https://t.co/KjLuOOE2qJ',"Ankara, Türkiye","Yenimahalle, Ankara",,False,Wed Jan 20 05:41:09 +0000 2021,0,b'1351766694423916546'
1,Twitter for Android,"b""@staronline Hopefully he'll stay Positive \nIm Sure its the Ministers Klusters thats Responsible for Covid19 Being U\xe2\x80\xa6 https://t.co/bc8xiW8zES""",,"Hulu Kinta, Perak",staronline,False,Wed Jan 20 05:43:14 +0000 2021,0,b'1351767219580006401'
0,Twitter for iPhone,b'@TelenoticiasPR Es de esperarse que suceda tras un baj\xc3\xb3n en la  defensas del paciente mientras lucha contra el COVID19.',"Arroyo, USA","Arroyo, Puerto Rico",TelenoticiasPR,False,Wed Jan 20 05:45:15 +0000 2021,0,b'1351767727472594945'
0,Twitter for iPhone,b'I\xe2\x80\x99ll take 420 of both thank u https://t.co/wsTZ7tVVlB',Space—the stirlo frontier,"Melbourne, Victoria",,False,Wed Jan 20 05:45:23 +0000 2021,0,b'1351767761819627520'
1,Twitter for Android,"b'O estado em que t\xc3\xb4 morando completou 9 meses sem transmiss\xc3\xa3o comunit\xc3\xa1ria do covid-19\n\nNa moral, eu dei uma sorte do\xe2\x80\xa6 https://t.co/goRP9ceVj4'","Perth, Western Australia","Perth, Western Australia",,False,Wed Jan 20 05:45:05 +0000 2021,0,b'1351767687089721344'
1,Twitter for Android,b'Buona giornata a @ilgiornale e a suo eccellentissimo @alesallusti che stamane titola #CaporettoConte. Era meglio qu\xe2\x80\xa6 https://t.co/If2TxtfHXF',Affetto da senso di giustizia,"Turin, Piedmont",,False,Wed Jan 20 05:45:58 +0000 2021,2,b'1351767907886370816'
1,Twitter for Android,"b'Vamos camino a acabar enero con m\xc3\xa1s de 40 mil fallecidos, mientras sigue lejos el primer mill\xc3\xb3n de recuperados. Feb\xe2\x80\xa6 https://t.co/I4Qs4W1VuI'",Lima - Peru,"Lima, Peru",,False,Wed Jan 20 05:46:02 +0000 2021,0,b'1351767925506641920'
1,Twitter for Android,b'#onlineexamfor9thand11th #onlineexamscbse #Trending #kanojia #cbseforstudents #online_exams_only i want online exam this year due covid-19',"सीतापुर , उत्तर प्रदेश

","Ghaziabad, India",,False,Wed Jan 20 05:47:34 +0000 2021,1,b'1351768310677848066'
0,Twitter for Android,"b'El hombre que vivi\xc3\xb3 tres meses en un aeropuerto ""por miedo al coronavirus"" https://t.co/hsTvzPcIl4'","Comunidad de Madrid, España",Spain,,False,Wed Jan 20 05:47:23 +0000 2021,0,b'1351768265907990534'
0,Twitter for iPhone,b'W\xc3\xa4re auch nicht nachvollziehbar wenn das nicht so w\xc3\xa4re https://t.co/bNnzgzHj8Y',"Vogelgrun, France","Vogelgrun, France",,False,Wed Jan 20 05:47:17 +0000 2021,0,b'1351768239471255553'
1,Twitter for Android,b'Yeap this is it \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 The end https://t.co/zIDgsjvNrL',"127.0.0.1, Earth 616",Malawi,,False,Wed Jan 20 05:47:47 +0000 2021,0,b'1351768364851605506'
0,Twitter for Android,"b""Cyril could come up with 500 billion for his friends to steal, but can't find 20 billion for vaccines?\n\n#Government\xe2\x80\xa6 https://t.co/R7c14gnp2C""",,"Brackenfell, South Africa",,False,Wed Jan 20 05:48:08 +0000 2021,0,b'1351768452722274306'
0,Twitter for Android,b'This sums it up https://t.co/TwSpR2bndv',"Hollywood, Los Angeles","Los Angeles, CA",,False,Wed Jan 20 05:48:10 +0000 2021,0,b'1351768459797880833'
0,Twitter for Android,"b'While you celebrate this last day, please remember all the lives lost and damaged. https://t.co/fmmNYgZZpw'","Washington, USA","Kirkland, WA",,False,Wed Jan 20 05:48:27 +0000 2021,0,b'1351768531356901376'
2,Twitter for Android,b'this is a man https://t.co/e8tWof9Bzm',,"Tulare, CA",,False,Wed Jan 20 05:48:04 +0000 2021,1,b'1351768434900516864'
1,Twitter for Android,"b'Creo que la segunda dosis de los m\xc3\xa9dicos se las aplicaron a los ""morenos""... https://t.co/s3Vtp8BjRz'",Veracruz de Ignacio de la Llav,"Xalapa, Veracruz de Ignacio de la Llave",,False,Wed Jan 20 05:48:49 +0000 2021,1,b'1351768623900225538'
0,dlvr.it,b'Rising coronavirus cases force Taiwan authorities to cancel more events https://t.co/BYKPU72507',"London, United Kingdom","London, England",,False,Wed Jan 20 05:50:32 +0000 2021,1,b'1351769056919998472'
6,Twitter for iPhone,"b'Compartimos los casos confirmados hasta el momento de #COVID19 en La Magdalena Contreras, nos encontramos en\xe2\x80\xa6 https://t.co/xerFaBwn8s'",La Magdalena Contreras,"La Magdalena Contreras, Distrito Federal",,False,Wed Jan 20 05:50:18 +0000 2021,3,b'1351768998183129090'
0,Twitter for Android,"b""It seems is British are colonialising the planet again! \xf0\x9f\x8c\x8f Now it's the BritVirus #COVID19UK =&gt; \nhttps://t.co/MdMbXtmBBF""","Kingsmead, Cheshire UK ","Northwich, England",,False,Wed Jan 20 05:50:34 +0000 2021,0,b'1351769067175235585'
0,Twitter for Android,b'Today I took home test as Covid-19. Hopefully it will be negative.. fingers crossed!!!\n#COVID19 #Hometestforcovid19 #wednesdaythought',,"Dhaka, Bangladesh",,False,Wed Jan 20 05:50:51 +0000 2021,0,b'1351769138583068674'
2,Twitter for Android,b'#COVID19 #americanvirus #America \nSo now is USA virus.\nEvil!!!!!!!!!!!!! https://t.co/tiLyf64loW',"Manchester, England","Wan Chai District, Hong Kong",,False,Wed Jan 20 05:50:46 +0000 2021,0,b'1351769114088361985'
